Rotation Data (1D Kymograph Signal [radians vs time]),
1mM/1mM_leu1m_1.tif,
20170413 17:11:32.860,
,
time (ms),cell0,
9814.0,294.038894643
9831.0,251.415255862
9848.0,301.788804391
9865.0,299.625547771
9882.0,296.78170529
9899.0,248.839648
9915.0,310.534417207
9932.0,311.369164149
9949.0,311.083354405
9966.0,307.654941417
9983.0,274.630452123
10000.0,179.178117221
10017.0,297.184303564
10034.0,308.522585632
10051.0,291.087285489
10068.0,293.388364393
10085.0,310.5283996
10102.0,310.045217762
10119.0,311.370961801
10135.0,310.551349223
10152.0,305.974278456
10169.0,288.950659337
10186.0,265.998274364
10203.0,306.317228924
10220.0,309.165478445
10237.0,306.31792427
10254.0,280.129890792
10271.0,288.320084948
10288.0,309.068385211
10305.0,310.2933465
10322.0,311.898548328
10339.0,310.484408483
10355.0,308.91451333
10372.0,291.897856232
10389.0,277.805477842
10406.0,250.02464788
10423.0,217.888352707
10440.0,303.141385578
10457.0,309.227444736
10474.0,310.268067762
10491.0,300.939933691
10508.0,255.309611855
10525.0,283.777679741
10542.0,309.825360491
10558.0,311.27323467
10575.0,310.581589755
10592.0,309.614240941
10609.0,247.158353879
10626.0,281.146734013
10643.0,179.456337487
10660.0,122.238047963
10677.0,307.698026594
10694.0,310.583783317
10711.0,303.708135188
10728.0,285.231786234
10745.0,278.535882586
10762.0,310.673290641
10778.0,311.64100527
10795.0,311.5810226
10812.0,309.994299233
10829.0,252.054339186
10846.0,223.812366055
10863.0,292.368128033
10880.0,309.47306908
10897.0,300.931649789
10914.0,286.724156846
10931.0,305.533980723
10948.0,310.351899772
10965.0,312.11126972
10982.0,310.704858167
10998.0,309.36302803
11015.0,287.070522597
11032.0,310.005598356
11049.0,309.70992593
11066.0,305.330033241
11083.0,310.175384177
11100.0,258.948036719
11117.0,232.624443733
11134.0,235.143035353
11151.0,307.603126073
11168.0,294.735173228
11185.0,175.913488328
11202.0,309.873633309
11218.0,311.772184263
11235.0,308.813597054
11252.0,263.719673752
11269.0,236.32198528
11286.0,298.824626318
11303.0,308.5902177
11320.0,266.405230078
11337.0,242.654085942
11354.0,310.575706759
11371.0,311.51968416
11388.0,310.581120557
11405.0,276.009035046
11421.0,283.190862458
11438.0,202.55281135
11455.0,300.085229603
11472.0,301.376013056
11489.0,289.129246268
11506.0,244.130928471
11523.0,310.148961939
11540.0,310.248483235
11557.0,311.612272385
11574.0,309.747935921
11591.0,280.935031391
11608.0,250.739416891
11625.0,112.951896457
11641.0,292.95006757
11658.0,307.396699372
11675.0,285.793287089
11692.0,301.360078721
11709.0,310.368348709
11726.0,310.084397125
11743.0,310.984277522
11760.0,305.451310599
11777.0,310.773449616
11794.0,307.653596421
11811.0,239.671786878
11828.0,251.911571047
11845.0,271.347640304
11861.0,259.915619147
11878.0,122.958619387
11895.0,74.1481673924
11912.0,307.72872226
11929.0,309.110473697
11946.0,268.235438697
11963.0,236.858861492
11980.0,309.457030074
11997.0,309.117767864
12014.0,310.028948822
12031.0,310.31252018
12048.0,304.413580716
12065.0,298.831152881
12081.0,251.312577708
12098.0,230.405113837
12115.0,181.781431421
12132.0,289.614061298
12149.0,308.023258571
12166.0,310.935199218
12183.0,310.381190431
12200.0,309.852141797
12217.0,306.731383235
12234.0,304.20572743
12251.0,261.73638637
12268.0,296.030904913
12284.0,309.151795862
12301.0,309.367583501
12318.0,308.643804799
12335.0,309.664965432
12352.0,308.729451725
12369.0,309.995062623
12386.0,311.53245209
12403.0,310.267422903
12420.0,311.096939268
12437.0,307.763286705
12454.0,274.938000317
12471.0,238.800727267
12488.0,183.444226336
12504.0,307.490827505
12521.0,302.268587177
12538.0,212.631786104
12555.0,308.355798051
12572.0,310.094291634
12589.0,311.541139583
12606.0,310.416160925
12623.0,293.235178982
12640.0,267.635188168
12657.0,148.38979493
12674.0,293.777947563
12691.0,309.829420831
12708.0,298.860014208
12724.0,245.405884745
12741.0,310.582648619
12758.0,309.811854161
12775.0,311.039128742
12792.0,291.715235124
12809.0,259.03324748
12826.0,131.033847761
12843.0,299.72848062
12860.0,307.312966374
12877.0,285.711481016
12894.0,305.805029378
12911.0,309.726371382
12927.0,310.94742987
12944.0,310.885052963
12961.0,309.889978096
12978.0,305.893969462
12995.0,286.708176039
13012.0,272.733053368
13029.0,183.330082156
13046.0,305.710015554
13063.0,309.072447002
13080.0,282.900110549
13097.0,307.219049233
13114.0,307.89145681
13131.0,311.524213495
13147.0,309.722682098
13164.0,269.70670525
13181.0,206.498184899
13198.0,288.902068226
13215.0,308.611952138
13232.0,296.111313369
13249.0,212.663339511
13266.0,309.913526509
13283.0,309.570653112
13300.0,311.07656993
13317.0,307.409066053
13334.0,273.181193251
13351.0,260.306186739
13367.0,169.46193358
13384.0,299.870567699
13401.0,310.029485154
13418.0,297.182680329
13435.0,249.875654247
13452.0,308.705002696
13469.0,309.463192981
13486.0,311.174533006
13503.0,309.157446766
13520.0,285.683031189
13537.0,263.794105072
13554.0,169.754307378
13571.0,299.525290518
13587.0,310.076392171
13604.0,303.584338823
13621.0,288.832178994
13638.0,256.357384026
13655.0,305.91772428
13672.0,309.357685949
13689.0,309.794337518
13706.0,310.606897933
13723.0,307.865133731
13740.0,247.349085981
13757.0,178.264648498
13774.0,186.808723896
13790.0,303.864348015
13807.0,307.902638966
13824.0,296.355463012
13841.0,201.745809995
13858.0,309.924115751
13875.0,310.351515923
13892.0,310.642498028
13909.0,309.899918436
13926.0,303.342904996
13943.0,253.1560608
13960.0,256.83804654
13977.0,132.069616062
13994.0,309.521891987
14010.0,309.461181573
14027.0,288.421531138
14044.0,260.120985475
14061.0,262.555593994
14078.0,308.409344335
14095.0,310.554710089
14112.0,311.554786165
14129.0,310.247931347
14146.0,295.942089302
14163.0,274.521140253
14180.0,160.840204887
14197.0,297.706435965
14214.0,308.454726256
14230.0,306.874784557
14247.0,279.669775969
14264.0,206.564844535
14281.0,309.996768734
14298.0,311.521393316
14315.0,311.130920603
14332.0,309.91208945
14349.0,292.531949789
14366.0,273.792893031
14383.0,212.965347913
14400.0,197.230444543
14417.0,304.829411306
14434.0,310.727132401
14450.0,309.726873388
14467.0,302.341519507
14484.0,257.183332202
14501.0,301.60302409
14518.0,310.580033442
14535.0,312.01003074
14552.0,311.570143349
14569.0,310.132921436
14586.0,308.042168647
14603.0,241.625874126
14620.0,114.423317582
14637.0,308.098302076
14653.0,306.500060747
14670.0,310.05417036
14687.0,310.309239026
14704.0,293.635494165
14721.0,236.073890825
14738.0,309.526439744
14755.0,310.822128717
14772.0,311.765430725
14789.0,310.91584036
14806.0,308.548271033
14823.0,302.334405439
14840.0,281.486056966
14857.0,279.080614513
14873.0,148.992525969
